Designator,Mid X,Mid Y,Rotation,Layer
C1,128.123363,-108.561637,90.0,bottom
C10,111.133363,-87.936637,180.0,bottom
C11,135.233363,-59.301637,90.0,bottom
C2,173.923363,-76.666637,180.0,bottom
C3,166.823363,-95.916637,135.0,bottom
C4,118.911371,-63.094645,45.0,bottom
C5,165.343363,-87.026637,270.0,bottom
C6,158.538363,-58.966637,90.0,top
C7,174.033363,-78.966637,180.0,bottom
C8,164.448363,-71.686637,0.0,bottom
C9,126.52,-64.5,90.0,top
D1,168.235863,-83.069137,270.0,bottom
D3,122.67,-64.59,270.0,top
F1,164.723363,-64.956637,135.0,top
J1,177.05,-86.87,270.0,bottom
LED1,168.693363,-69.546637,270.0,bottom
LED3,155.123363,-57.586637,270.0,bottom
P1,142.35,-72.0,0.0,top
P3,122.985,-83.625,0.0,top
P4,136.053363,-54.781637,270.0,top
P5,113.19,-77.23,0.0,bottom
PWR1,169.698363,-75.631637,90.0,top
Q1,162.803363,-83.306637,315.0,bottom
Q2,160.833363,-90.736637,225.0,bottom
Q3,157.517278,-94.34922,135.0,bottom
R1,163.073363,-68.486637,180.0,bottom
R10,166.178363,-94.366637,90.0,top
R11,165.65,-107.87,45.0,top
R12,158.05,-102.0,90.0,top
R13,173.29,-97.08,45.0,top
R14,126.16,-101.09,0.0,top
R15,119.62,-108.43,135.0,top
R2,159.848363,-58.276637,0.0,bottom
R3,164.143363,-73.601637,90.0,top
R4,164.083363,-78.536637,90.0,top
R5,162.708363,-61.146637,0.0,bottom
R6,166.658363,-64.086637,90.0,bottom
R7,112.63,-95.59,90.0,bottom
R8,160.343363,-96.896637,135.0,bottom
R9,163.743363,-94.036637,315.0,bottom
SW1,112.85,-91.92,0.0,top
SWA6,119.26,-101.18,90.0,top
SWB7,126.34,-108.97,90.0,top
SWD3,158.115,-109.6,90.0,top
SWL4,151.67,-101.61,90.0,top
SWR5,165.785,-101.75,90.0,top
SWU2,159.55,-93.67,90.0,top
U1,164.568388,-104.591484,315.0,bottom
U2,142.348363,-104.041637,180.0,bottom
U3,164.243363,-76.876637,180.0,bottom
U4,162.700863,-64.376637,180.0,bottom
